Candidatura_id;Nome_candidato;Email_candidato;Status_candidatura;Origem_candidatura;FK_vaga_id
35;Renata Silva Lima;candidato0035@emailteste.com;Entrevista;Indicacao;422
36;Larissa Santos Barbosa;candidato0036@emailteste.com;Reprovado;Site;728
37;Caio Araújo Gomes;candidato0037@emailteste.com;Entrevista;Site;871
38;Eduarda Vieira Silva;candidato0038@emailteste.com;Entrevista;Indicacao;151
39;Lucas Barbosa Almeida;candidato0039@emailteste.com;Reprovado;Gupy;467
40;Nicolas Ferreira Santos;candidato0040@emailteste.com;Entrevista;Gupy;967
41;Joao Barbosa Souza;candidato0041@emailteste.com;Triagem;LinkedIn;856
42;Marcelo Araújo Barbosa;candidato0042@emailteste.com;Reprovado;LinkedIn;992
43;Otavio Souza Carvalho;candidato0043@emailteste.com;Entrevista;LinkedIn;799
44;Tatiane Ferreira Teixeira;candidato0044@emailteste.com;Aprovado;LinkedIn;296
45;Samuel Nascimento Ribeiro;candidato0045@emailteste.com;Entrevista;LinkedIn;384
46;Lucas Souza Carvalho;candidato0046@emailteste.com;Triagem;Gupy;599
47;Lucas Ferreira Silva;candidato0047@emailteste.com;Entrevista;Site;985
48;Vanessa Nascimento Silva;candidato0048@emailteste.com;Triagem;Indicacao;189
49;Gustavo Gomes Barbosa;candidato0049@emailteste.com;Triagem;LinkedIn;433
50;Sofia Silva Oliveira;candidato0050@emailteste.com;Reprovado;Site;905
51;Bruno Almeida Oliveira;candidato0051@emailteste.com;Reprovado;Gupy;457
52;Carla Lima Silva;candidato0052@emailteste.com;Triagem;Indicacao;598
53;Mariana Almeida Ferreira;candidato0053@emailteste.com;Reprovado;Site;188
54;Renata Gomes Ribeiro;candidato0054@emailteste.com;Entrevista;LinkedIn;884
55;Larissa Ferreira Vieira;candidato0055@emailteste.com;Aprovado;Site;444
56;Paulo Nascimento Silva;candidato0056@emailteste.com;Entrevista;LinkedIn;760
57;Gustavo Lima Gomes;candidato0057@emailteste.com;Triagem;Gupy;903
58;Daniela Teixeira Teixeira;candidato0058@emailteste.com;Aprovado;LinkedIn;716
59;Yasmin Costa Teixeira;candidato0059@emailteste.com;Entrevista;Gupy;474
60;Juliana Barbosa Ferreira;candidato0060@emailteste.com;Triagem;Gupy;917
61;Vanessa Souza Ribeiro;candidato0061@emailteste.com;Entrevista;Indicacao;668
62;Diego Martins Vieira;candidato0062@emailteste.com;Reprovado;LinkedIn;129
63;Igor Carvalho Melo;candidato0063@emailteste.com;Reprovado;Indicacao;844
64;Juliana Melo Ferreira;candidato0064@emailteste.com;Aprovado;Indicacao;211
65;William Barbosa Gomes;candidato0065@emailteste.com;Aprovado;LinkedIn;464
66;Ana Pereira Nascimento;candidato0066@emailteste.com;Reprovado;Indicacao;836
67;Ana Carvalho Barbosa;candidato0067@emailteste.com;Aprovado;Site;867
68;Bruno Ferreira Santos;candidato0068@emailteste.com;Triagem;LinkedIn;579
69;Juliana Teixeira Santos;candidato0069@emailteste.com;Entrevista;Gupy;791
70;Eduarda Araújo Martins;candidato0070@emailteste.com;Entrevista;LinkedIn;287
71;Renata Nascimento Vieira;candidato0071@emailteste.com;Triagem;Gupy;178
72;Juliana Araújo Almeida;candidato0072@emailteste.com;Entrevista;Gupy;178
73;Ana Ferreira Costa;candidato0073@emailteste.com;Aprovado;LinkedIn;42
74;Joao Araújo Lima;candidato0074@emailteste.com;Aprovado;LinkedIn;117
75;Zeca Costa Lima;candidato0075@emailteste.com;Aprovado;Indicacao;816
76;Carla Costa Ribeiro;candidato0076@emailteste.com;Aprovado;Gupy;639
77;Mariana Costa Almeida;candidato0077@emailteste.com;Entrevista;Indicacao;871
78;Paulo Ribeiro Ferreira;candidato0078@emailteste.com;Reprovado;Gupy;8
79;Sofia Silva Araújo;candidato0079@emailteste.com;Entrevista;LinkedIn;130
80;Samuel Gomes Oliveira;candidato0080@emailteste.com;Entrevista;LinkedIn;455
81;Caio Teixeira Ribeiro;candidato0081@emailteste.com;Aprovado;Gupy;975
82;Diego Souza Rodrigues;candidato0082@emailteste.com;Entrevista;Site;412
83;Mariana Oliveira Barbosa;candidato0083@emailteste.com;Reprovado;Indicacao;603
84;Elias Gomes Ferreira;candidato0084@emailteste.com;Triagem;LinkedIn;394
85;Lucas Teixeira Gomes;candidato0085@emailteste.com;Triagem;Gupy;924
86;Larissa Lima Teixeira;candidato0086@emailteste.com;Triagem;Gupy;186
87;Gustavo Melo Oliveira;candidato0087@emailteste.com;Entrevista;LinkedIn;494
88;Elias Costa Ribeiro;candidato0088@emailteste.com;Entrevista;Site;876
89;Samuel Barbosa Lima;candidato0089@emailteste.com;Entrevista;Site;258
90;Fernanda Souza Rodrigues;candidato0090@emailteste.com;Triagem;Site;124
91;Larissa Costa Silva;candidato0091@emailteste.com;Triagem;Gupy;676
92;Sofia Gomes Lima;candidato0092@emailteste.com;Entrevista;Indicacao;63
93;Mariana Ferreira Souza;candidato0093@emailteste.com;Triagem;Indicacao;708
94;Olivia Lima Araújo;candidato0094@emailteste.com;Triagem;Indicacao;97
95;Samuel Almeida Rodrigues;candidato0095@emailteste.com;Triagem;LinkedIn;307
96;Paulo Santos Pereira;candidato0096@emailteste.com;Reprovado;Site;940
97;William Melo Rodrigues;candidato0097@emailteste.com;Aprovado;Site;620
98;Isabela Araújo Gomes;candidato0098@emailteste.com;Entrevista;Gupy;995
99;Felipe Pereira Nascimento;candidato0099@emailteste.com;Entrevista;Indicacao;644
100;Amanda Nascimento Souza;candidato0100@emailteste.com;Entrevista;LinkedIn;310
101;Sofia Barbosa Barbosa;candidato0101@emailteste.com;Triagem;Site;505
102;Fernanda Vieira Almeida;candidato0102@emailteste.com;Entrevista;Gupy;776
103;Juliana Vieira Vieira;candidato0103@emailteste.com;Reprovado;Indicacao;98
104;Daniela Teixeira Santos;candidato0104@emailteste.com;Entrevista;Indicacao;479
105;Sofia Martins Carvalho;candidato0105@emailteste.com;Aprovado;LinkedIn;905
106;Rafael Lima Pereira;candidato0106@emailteste.com;Aprovado;Gupy;850
107;Sofia Ferreira Lima;candidato0107@emailteste.com;Reprovado;Site;139
108;Gustavo Ferreira Silva;candidato0108@emailteste.com;Aprovado;Site;494
109;Isabela Vieira Ferreira;candidato0109@emailteste.com;Aprovado;Indicacao;947
110;Nicolas Lima Araújo;candidato0110@emailteste.com;Triagem;Site;173
111;Thiago Ferreira Ferreira;candidato0111@emailteste.com;Entrevista;Indicacao;9
112;Gabriela Nascimento Ferreira;candidato0112@emailteste.com;Aprovado;Site;173
113;Victor Melo Ferreira;candidato0113@emailteste.com;Reprovado;Gupy;604
114;Renata Ferreira Silva;candidato0114@emailteste.com;Triagem;Gupy;812
115;Juliana Costa Gomes;candidato0115@emailteste.com;Triagem;Indicacao;584
116;Vanessa Ferreira Teixeira;candidato0116@emailteste.com;Triagem;LinkedIn;621
117;Helena Ribeiro Ferreira;candidato0117@emailteste.com;Reprovado;LinkedIn;138
118;Helena Ribeiro Silva;candidato0118@emailteste.com;Aprovado;Indicacao;848
119;Diego Vieira Araújo;candidato0119@emailteste.com;Reprovado;Gupy;190
120;Eduarda Barbosa Martins;candidato0120@emailteste.com;Triagem;LinkedIn;735
121;Olivia Teixeira Oliveira;candidato0121@emailteste.com;Triagem;LinkedIn;589
122;Olivia Costa Araújo;candidato0122@emailteste.com;Entrevista;Gupy;138
123;Juliana Martins Melo;candidato0123@emailteste.com;Triagem;LinkedIn;973
124;William Costa Ribeiro;candidato0124@emailteste.com;Triagem;LinkedIn;430
125;Bruno Pereira Rodrigues;candidato0125@emailteste.com;Reprovado;Site;675
126;Carla Lima Ribeiro;candidato0126@emailteste.com;Aprovado;Site;114
127;Helena Santos Barbosa;candidato0127@emailteste.com;Reprovado;Gupy;401
128;Tatiane Almeida Pereira;candidato0128@emailteste.com;Aprovado;LinkedIn;16
129;Vanessa Lima Costa;candidato0129@emailteste.com;Reprovado;Gupy;205
130;Samuel Carvalho Oliveira;candidato0130@emailteste.com;Reprovado;Site;675
131;Joao Costa Souza;candidato0131@emailteste.com;Entrevista;Gupy;806
132;Helena Souza Silva;candidato0132@emailteste.com;Aprovado;Indicacao;730
133;Felipe Carvalho Martins;candidato0133@emailteste.com;Entrevista;Gupy;733
134;Gabriela Ribeiro Araújo;candidato0134@emailteste.com;Aprovado;Indicacao;120
135;Mariana Melo Ferreira;candidato0135@emailteste.com;Reprovado;Site;675
136;Fernanda Pereira Araújo;candidato0136@emailteste.com;Reprovado;Site;916
137;Carla Carvalho Almeida;candidato0137@emailteste.com;Aprovado;Indicacao;185
138;Zeca Santos Gomes;candidato0138@emailteste.com;Reprovado;LinkedIn;485
139;Amanda Lima Souza;candidato0139@emailteste.com;Reprovado;LinkedIn;89
140;Otavio Teixeira Teixeira;candidato0140@emailteste.com;Entrevista;Gupy;307
141;Lucas Santos Ferreira;candidato0141@emailteste.com;Aprovado;Gupy;456
142;Victor Gomes Gomes;candidato0142@emailteste.com;Triagem;Site;173
143;Olivia Gomes Araújo;candidato0143@emailteste.com;Reprovado;Indicacao;816
144;Mariana Pereira Ribeiro;candidato0144@emailteste.com;Aprovado;Site;584
145;Ana Ferreira Araújo;candidato0145@emailteste.com;Aprovado;Indicacao;764
146;Olivia Ribeiro Rodrigues;candidato0146@emailteste.com;Reprovado;LinkedIn;288
147;Marcelo Ferreira Almeida;candidato0147@emailteste.com;Reprovado;Indicacao;65
148;Ana Silva Teixeira;candidato0148@emailteste.com;Aprovado;Gupy;513
149;Caio Lima Barbosa;candidato0149@emailteste.com;Aprovado;Gupy;94
150;Gustavo Gomes Costa;candidato0150@emailteste.com;Aprovado;LinkedIn;856
151;Carla Vieira Costa;candidato0151@emailteste.com;Reprovado;LinkedIn;269
152;Igor Santos Martins;candidato0152@emailteste.com;Reprovado;Site;755
153;Gabriela Martins Costa;candidato0153@emailteste.com;Reprovado;Indicacao;283
154;Nicolas Melo Santos;candidato0154@emailteste.com;Reprovado;Site;85
155;Sofia Melo Araújo;candidato0155@emailteste.com;Reprovado;Indicacao;918
156;Helena Melo Rodrigues;candidato0156@emailteste.com;Reprovado;Gupy;414
157;Thiago Oliveira Araújo;candidato0157@emailteste.com;Aprovado;LinkedIn;532
158;Elias Pereira Teixeira;candidato0158@emailteste.com;Triagem;LinkedIn;153
159;Larissa Barbosa Ferreira;candidato0159@emailteste.com;Triagem;LinkedIn;796
160;Rafael Martins Lima;candidato0160@emailteste.com;Triagem;Site;666
161;Thiago Ribeiro Silva;candidato0161@emailteste.com;Aprovado;Gupy;373
162;Helena Carvalho Santos;candidato0162@emailteste.com;Aprovado;LinkedIn;234
163;Paulo Melo Gomes;candidato0163@emailteste.com;Reprovado;Gupy;217
164;Bruno Ribeiro Barbosa;candidato0164@emailteste.com;Reprovado;Gupy;23
165;Gustavo Barbosa Souza;candidato0165@emailteste.com;Entrevista;Gupy;753
166;Lucas Carvalho Carvalho;candidato0166@emailteste.com;Reprovado;Indicacao;795
167;Felipe Teixeira Silva;candidato0167@emailteste.com;Reprovado;Site;337
168;Nicolas Pereira Lima;candidato0168@emailteste.com;Triagem;Site;483
169;Nicolas Vieira Carvalho;candidato0169@emailteste.com;Entrevista;Indicacao;697
170;Juliana Pereira Teixeira;candidato0170@emailteste.com;Reprovado;Site;25
171;Amanda Lima Silva;candidato0171@emailteste.com;Aprovado;Gupy;143
172;Henrique Melo Santos;candidato0172@emailteste.com;Aprovado;Site;784
173;Eduarda Nascimento Ribeiro;candidato0173@emailteste.com;Reprovado;LinkedIn;417
174;Gustavo Almeida Ferreira;candidato0174@emailteste.com;Triagem;LinkedIn;412
175;Juliana Vieira Silva;candidato0175@emailteste.com;Reprovado;Gupy;967
176;William Vieira Ferreira;candidato0176@emailteste.com;Triagem;Gupy;503
177;Henrique Nascimento Rodrigues;candidato0177@emailteste.com;Reprovado;Indicacao;989
178;Nicolas Costa Melo;candidato0178@emailteste.com;Triagem;Site;756
179;Ana Nascimento Carvalho;candidato0179@emailteste.com;Aprovado;Indicacao;176
180;Gustavo Vieira Martins;candidato0180@emailteste.com;Entrevista;LinkedIn;212
181;William Nascimento Costa;candidato0181@emailteste.com;Triagem;Gupy;981
182;Amanda Martins Teixeira;candidato0182@emailteste.com;Triagem;LinkedIn;290
183;Daniela Vieira Teixeira;candidato0183@emailteste.com;Reprovado;Site;28
184;Fernanda Teixeira Ferreira;candidato0184@emailteste.com;Triagem;Indicacao;840
185;Sofia Melo Almeida;candidato0185@emailteste.com;Triagem;Indicacao;265
186;Yasmin Pereira Ferreira;candidato0186@emailteste.com;Aprovado;Gupy;575
187;Patricia Gomes Costa;candidato0187@emailteste.com;Triagem;Gupy;802
188;Eduarda Melo Nascimento;candidato0188@emailteste.com;Triagem;Site;483
189;Patricia Silva Ribeiro;candidato0189@emailteste.com;Reprovado;Indicacao;680
190;Olivia Souza Lima;candidato0190@emailteste.com;Triagem;LinkedIn;389
191;Renata Vieira Rodrigues;candidato0191@emailteste.com;Triagem;Indicacao;2
192;Mariana Melo Santos;candidato0192@emailteste.com;Triagem;Site;56
193;Yasmin Rodrigues Carvalho;candidato0193@emailteste.com;Aprovado;LinkedIn;457
194;Diego Almeida Silva;candidato0194@emailteste.com;Triagem;LinkedIn;466
195;Juliana Ribeiro Rodrigues;candidato0195@emailteste.com;Entrevista;Site;564
196;Lucas Martins Martins;candidato0196@emailteste.com;Aprovado;LinkedIn;677
197;Bruno Melo Rodrigues;candidato0197@emailteste.com;Aprovado;Gupy;657
198;Marcelo Gomes Oliveira;candidato0198@emailteste.com;Triagem;Site;553
199;Ana Carvalho Vieira;candidato0199@emailteste.com;Triagem;Site;880
200;Henrique Ferreira Barbosa;candidato0200@emailteste.com;Reprovado;Site;136
201;Ana Nascimento Santos;candidato0201@emailteste.com;Entrevista;LinkedIn;246
202;Zeca Souza Melo;candidato0202@emailteste.com;Triagem;Gupy;945
203;Helena Almeida Gomes;candidato0203@emailteste.com;Aprovado;Indicacao;224
204;Amanda Teixeira Ribeiro;candidato0204@emailteste.com;Entrevista;Indicacao;343
205;Rafael Barbosa Silva;candidato0205@emailteste.com;Triagem;Gupy;12
206;Tatiane Rodrigues Martins;candidato0206@emailteste.com;Entrevista;Indicacao;221
207;Helena Teixeira Silva;candidato0207@emailteste.com;Triagem;Gupy;980
208;Olivia Melo Araújo;candidato0208@emailteste.com;Entrevista;LinkedIn;188
209;Thiago Gomes Vieira;candidato0209@emailteste.com;Reprovado;Site;843
210;Diego Costa Teixeira;candidato0210@emailteste.com;Reprovado;Site;1
211;Isabela Martins Costa;candidato0211@emailteste.com;Reprovado;Indicacao;137
212;Victor Santos Araújo;candidato0212@emailteste.com;Aprovado;Gupy;716
213;Igor Gomes Pereira;candidato0213@emailteste.com;Triagem;Site;809
214;Elias Gomes Silva;candidato0214@emailteste.com;Entrevista;Site;847
215;Samuel Pereira Nascimento;candidato0215@emailteste.com;Entrevista;LinkedIn;361
216;Vanessa Melo Barbosa;candidato0216@emailteste.com;Entrevista;Indicacao;284
217;Gustavo Carvalho Rodrigues;candidato0217@emailteste.com;Entrevista;Gupy;237
218;Igor Santos Ribeiro;candidato0218@emailteste.com;Reprovado;Site;619
219;Zeca Pereira Carvalho;candidato0219@emailteste.com;Aprovado;LinkedIn;133
220;Elias Vieira Martins;candidato0220@emailteste.com;Reprovado;Gupy;139
221;Diego Gomes Ferreira;candidato0221@emailteste.com;Reprovado;Gupy;170
222;Helena Vieira Teixeira;candidato0222@emailteste.com;Entrevista;LinkedIn;394
223;Helena Ribeiro Oliveira;candidato0223@emailteste.com;Reprovado;Site;182
224;Mariana Araújo Ribeiro;candidato0224@emailteste.com;Entrevista;Gupy;221
225;Amanda Nascimento Barbosa;candidato0225@emailteste.com;Reprovado;Site;728
226;Otavio Melo Teixeira;candidato0226@emailteste.com;Entrevista;Indicacao;939
227;Igor Silva Martins;candidato0227@emailteste.com;Triagem;Gupy;261
228;Rafael Ferreira Santos;candidato0228@emailteste.com;Aprovado;Gupy;98
229;Amanda Almeida Teixeira;candidato0229@emailteste.com;Entrevista;LinkedIn;159
230;Isabela Ribeiro Silva;candidato0230@emailteste.com;Triagem;LinkedIn;919
231;Eduarda Martins Martins;candidato0231@emailteste.com;Triagem;Site;953
232;Gustavo Rodrigues Teixeira;candidato0232@emailteste.com;Triagem;Indicacao;759
233;Olivia Santos Martins;candidato0233@emailteste.com;Triagem;Gupy;308
234;Henrique Silva Almeida;candidato0234@emailteste.com;Reprovado;Indicacao;156
235;Sofia Barbosa Rodrigues;candidato0235@emailteste.com;Triagem;Site;660
236;Amanda Ribeiro Martins;candidato0236@emailteste.com;Entrevista;Gupy;304
237;Ana Lima Teixeira;candidato0237@emailteste.com;Entrevista;LinkedIn;532
238;Lucas Costa Lima;candidato0238@emailteste.com;Entrevista;LinkedIn;584
239;Otavio Carvalho Carvalho;candidato0239@emailteste.com;Triagem;Indicacao;573
240;Zeca Ribeiro Rodrigues;candidato0240@emailteste.com;Triagem;Indicacao;412
241;Sofia Rodrigues Silva;candidato0241@emailteste.com;Triagem;Site;675
242;Elias Costa Silva;candidato0242@emailteste.com;Reprovado;Site;419
243;Gabriela Pereira Carvalho;candidato0243@emailteste.com;Aprovado;Site;157
244;Tatiane Silva Martins;candidato0244@emailteste.com;Entrevista;Indicacao;503
245;Renata Souza Ferreira;candidato0245@emailteste.com;Aprovado;Gupy;988
246;Eduarda Almeida Barbosa;candidato0246@emailteste.com;Aprovado;Site;100
247;Ana Santos Barbosa;candidato0247@emailteste.com;Reprovado;Site;202
248;Juliana Oliveira Barbosa;candidato0248@emailteste.com;Aprovado;LinkedIn;232
249;Helena Oliveira Vieira;candidato0249@emailteste.com;Entrevista;LinkedIn;151
250;Caio Teixeira Vieira;candidato0250@emailteste.com;Triagem;Gupy;529
251;Natalia Almeida Almeida;candidato0251@emailteste.com;Reprovado;LinkedIn;195
252;Victor Ferreira Martins;candidato0252@emailteste.com;Aprovado;Indicacao;867
253;Larissa Martins Nascimento;candidato0253@emailteste.com;Triagem;Indicacao;506
254;Igor Silva Melo;candidato0254@emailteste.com;Reprovado;Gupy;794
255;Olivia Lima Oliveira;candidato0255@emailteste.com;Triagem;Site;424
256;Amanda Oliveira Teixeira;candidato0256@emailteste.com;Triagem;Site;645
257;Carla Nascimento Araújo;candidato0257@emailteste.com;Triagem;Site;712
258;Paulo Ferreira Nascimento;candidato0258@emailteste.com;Aprovado;LinkedIn;275
259;Daniela Ribeiro Almeida;candidato0259@emailteste.com;Aprovado;LinkedIn;620
260;Eduarda Nascimento Araújo;candidato0260@emailteste.com;Triagem;Indicacao;355
261;Sofia Oliveira Souza;candidato0261@emailteste.com;Aprovado;Site;267
262;Samuel Teixeira Ribeiro;candidato0262@emailteste.com;Aprovado;Gupy;617
263;Henrique Ribeiro Santos;candidato0263@emailteste.com;Reprovado;Site;3
264;Diego Martins Silva;candidato0264@emailteste.com;Entrevista;LinkedIn;735
265;Victor Lima Martins;candidato0265@emailteste.com;Triagem;Indicacao;19
266;Paulo Teixeira Nascimento;candidato0266@emailteste.com;Entrevista;Gupy;84
267;Sofia Silva Almeida;candidato0267@emailteste.com;Reprovado;Site;788
268;Juliana Santos Costa;candidato0268@emailteste.com;Aprovado;Site;701
269;Samuel Silva Melo;candidato0269@emailteste.com;Triagem;Gupy;402
270;Amanda Ferreira Teixeira;candidato0270@emailteste.com;Aprovado;LinkedIn;995
271;Fernanda Martins Carvalho;candidato0271@emailteste.com;Entrevista;Gupy;740
272;Paulo Lima Carvalho;candidato0272@emailteste.com;Entrevista;Gupy;57
273;Mariana Teixeira Melo;candidato0273@emailteste.com;Aprovado;Indicacao;871
274;Bruno Pereira Pereira;candidato0274@emailteste.com;Triagem;Site;500
275;Carla Pereira Teixeira;candidato0275@emailteste.com;Reprovado;LinkedIn;611
276;Juliana Santos Souza;candidato0276@emailteste.com;Triagem;Indicacao;887
277;Olivia Oliveira Oliveira;candidato0277@emailteste.com;Entrevista;Gupy;831
278;Fernanda Ribeiro Souza;candidato0278@emailteste.com;Triagem;Indicacao;551
279;Samuel Nascimento Lima;candidato0279@emailteste.com;Triagem;Indicacao;167
280;Gustavo Costa Ferreira;candidato0280@emailteste.com;Triagem;LinkedIn;609
281;Gustavo Santos Martins;candidato0281@emailteste.com;Reprovado;Gupy;151
282;Bruno Lima Costa;candidato0282@emailteste.com;Reprovado;LinkedIn;488
283;Natalia Gomes Araújo;candidato0283@emailteste.com;Aprovado;Indicacao;492
284;Diego Nascimento Rodrigues;candidato0284@emailteste.com;Entrevista;LinkedIn;455
285;Eduarda Martins Ribeiro;candidato0285@emailteste.com;Triagem;Indicacao;747
286;Paulo Vieira Gomes;candidato0286@emailteste.com;Reprovado;Site;824
287;Fernanda Carvalho Rodrigues;candidato0287@emailteste.com;Reprovado;Gupy;255
288;Amanda Vieira Ribeiro;candidato0288@emailteste.com;Triagem;Indicacao;238
289;Ana Rodrigues Ribeiro;candidato0289@emailteste.com;Triagem;Indicacao;17
290;Isabela Araújo Barbosa;candidato0290@emailteste.com;Reprovado;LinkedIn;222
291;Fernanda Pereira Ribeiro;candidato0291@emailteste.com;Triagem;Indicacao;951
292;Diego Ribeiro Costa;candidato0292@emailteste.com;Triagem;Site;406
293;Paulo Carvalho Silva;candidato0293@emailteste.com;Aprovado;LinkedIn;133
294;Rafael Oliveira Carvalho;candidato0294@emailteste.com;Aprovado;LinkedIn;639
295;Sofia Vieira Souza;candidato0295@emailteste.com;Triagem;Gupy;601
296;Carla Vieira Souza;candidato0296@emailteste.com;Entrevista;LinkedIn;825
297;Paulo Silva Rodrigues;candidato0297@emailteste.com;Aprovado;Gupy;24
298;Yasmin Gomes Lima;candidato0298@emailteste.com;Entrevista;Gupy;786
299;Marcelo Araújo Vieira;candidato0299@emailteste.com;Reprovado;Indicacao;237
300;Henrique Vieira Ferreira;candidato0300@emailteste.com;Reprovado;LinkedIn;51
301;Zeca Nascimento Carvalho;candidato0301@emailteste.com;Triagem;Gupy;884
302;Marcelo Araújo Barbosa;candidato0302@emailteste.com;Aprovado;Indicacao;264
303;Samuel Vieira Rodrigues;candidato0303@emailteste.com;Triagem;Indicacao;293
304;Thiago Teixeira Martins;candidato0304@emailteste.com;Aprovado;Indicacao;231
305;Patricia Oliveira Souza;candidato0305@emailteste.com;Triagem;LinkedIn;736
306;Thiago Teixeira Ribeiro;candidato0306@emailteste.com;Aprovado;Indicacao;543
307;Nicolas Martins Martins;candidato0307@emailteste.com;Aprovado;Site;416
308;Juliana Ferreira Teixeira;candidato0308@emailteste.com;Aprovado;Gupy;127
309;Otavio Teixeira Barbosa;candidato0309@emailteste.com;Triagem;Indicacao;717
310;Helena Ribeiro Silva;candidato0310@emailteste.com;Entrevista;Site;106
311;Helena Rodrigues Martins;candidato0311@emailteste.com;Reprovado;LinkedIn;459
312;Ana Martins Melo;candidato0312@emailteste.com;Entrevista;Site;924
313;Gustavo Silva Rodrigues;candidato0313@emailteste.com;Entrevista;Indicacao;819
314;Eduarda Araújo Pereira;candidato0314@emailteste.com;Aprovado;LinkedIn;73
315;Elias Almeida Silva;candidato0315@emailteste.com;Triagem;Site;236
316;Felipe Carvalho Barbosa;candidato0316@emailteste.com;Triagem;Indicacao;434
317;Diego Araújo Pereira;candidato0317@emailteste.com;Reprovado;LinkedIn;383
318;Isabela Ferreira Gomes;candidato0318@emailteste.com;Aprovado;LinkedIn;215
319;Paulo Vieira Lima;candidato0319@emailteste.com;Aprovado;Site;581
320;Renata Santos Ribeiro;candidato0320@emailteste.com;Aprovado;Indicacao;219
321;Gabriela Lima Melo;candidato0321@emailteste.com;Triagem;Indicacao;741
322;Marcelo Souza Vieira;candidato0322@emailteste.com;Triagem;Site;446
323;Victor Ribeiro Vieira;candidato0323@emailteste.com;Entrevista;Site;339
324;Fernanda Souza Nascimento;candidato0324@emailteste.com;Entrevista;Gupy;903
325;Amanda Teixeira Barbosa;candidato0325@emailteste.com;Aprovado;Site;406
326;Thiago Silva Araújo;candidato0326@emailteste.com;Reprovado;LinkedIn;791
327;Lucas Costa Barbosa;candidato0327@emailteste.com;Reprovado;LinkedIn;556
328;Renata Costa Silva;candidato0328@emailteste.com;Triagem;Gupy;168
329;Bruno Teixeira Araújo;candidato0329@emailteste.com;Reprovado;Site;248
330;Nicolas Almeida Rodrigues;candidato0330@emailteste.com;Reprovado;Gupy;806
331;Isabela Almeida Vieira;candidato0331@emailteste.com;Reprovado;Indicacao;266
332;Carla Ferreira Nascimento;candidato0332@emailteste.com;Entrevista;Indicacao;246
333;Juliana Ribeiro Melo;candidato0333@emailteste.com;Reprovado;Gupy;265
334;Juliana Melo Barbosa;candidato0334@emailteste.com;Entrevista;Gupy;230
335;Sofia Lima Rodrigues;candidato0335@emailteste.com;Triagem;Gupy;245
336;Lucas Silva Vieira;candidato0336@emailteste.com;Triagem;Indicacao;706
